[Header]
TITLE,eupd3s4_longpuse_fieldscan
BYAPP,HeatCapacity,3.8.14,1.7
INFO,0,MASS:Sample Mass (mg)
INFO,0,MASSERR:Sample Mass Error (mg)
INFO,0,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.14 Build 19,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
22405763.78,Error: Warning: Current field is 1000.007 Oe;
22405763.91,Error: but addenda was obtained at -0.025 Oe.
22405939.88,,4881,0,1.1006,1000.007,9.3E-6,1.10756,0.021778068,1.1560279,0.007123,0.10477894,0.001339,1.2608069,0.007123,0.84358006,8.0600269,0.0041109456,99.327547,0,0,1,,,,1.5732E-7,14,1.2266892,1.043761,0
22405989.89,,4881,0,1.1007,1000.007,9.3E-6,1.1089112,0.023749543,1.1648026,0.007409,0.10502005,0.001343,1.2698226,0.007409,0.13248418,7.9723726,0.0045287583,99.247338,0,0,1,,,,1.6029E-7,16.12005,1.2296841,1.050402,0
22406041.55,,4881,0,1.1004,1000.007,9.2E-6,1.1091061,0.023622258,1.1635195,0.007745,0.1050571,0.001343,1.2685766,0.007745,0.11411726,7.99387,0.0047911236,99.206617,0,0,1,,,,1.5976E-7,15.94475,1.2301164,1.0490606,0
22406285.88,,4881,0,1.1671,1000.007,9.3E-6,1.1756871,0.024676433,1.2807931,0.00732,0.11786087,0.001573,1.398654,0.00732,0.86815739,8.0687799,0.0043427456,99.299187,0,0,1,,,,1.7437E-7,15.98774,1.3822402,1.0893996,0
22406336.55,,4881,0,1.1672,1000.007,9.3E-6,1.1763693,0.024818298,1.2769634,0.007234,0.11797661,0.001576,1.3949401,0.007234,0.83351189,7.8365452,0.0035790634,99.407717,0,0,1,,,,1.7889E-7,16.13756,1.3838446,1.0855124,0
22406388.91,,4881,0,1.1664,1000.007,9.3E-6,1.1758349,0.02475443,1.2733083,0.008497,0.11788858,0.001574,1.3911969,0.008497,0.15398569,8.0430276,0.0043609887,99.297558,0,0,1,,,,1.7399E-7,15.67309,1.3825877,1.0828972,0
22406610.45,,4881,0,1.2311,1000.007,9.2E-6,1.2403702,0.026121202,1.3880928,0.008437,0.12899266,0.001926,1.5170854,0.008437,1.3628004,8.0343635,0.00355103,99.42968,0,0,1,,,,1.8973E-7,16.08606,1.5385182,1.1190956,0
22406661.73,,4881,0,1.2311,1000.007,9.3E-6,1.2406102,0.026473342,1.3817635,0.00847,0.12904292,0.001928,1.5108065,0.00847,0.34913002,8.0727908,0.0049888179,99.204638,0,0,1,,,,1.884E-7,16.06873,1.5391136,1.1137773,0
22406712.81,,4881,0,1.2311,1000.007,9.3E-6,1.2408363,0.026493151,1.375564,0.00862,0.12906974,0.001929,1.5046338,0.00862,0.35767355,7.9226378,0.0033359194,99.461133,0,0,1,,,,1.9078E-7,16.14558,1.5396746,1.1085782,0
22406930.59,,4881,0,1.2973,1000.007,9.3E-6,1.3071329,0.027562095,1.4835938,0.009124,0.14112031,0.002201,1.6247141,0.009124,0.97775144,8.019017,0.0047565354,99.248354,0,0,1,,,,2.0389E-7,15.84528,1.7085964,1.1349985,0
22406982.42,,4881,0,1.2969,1000.007,9.4E-6,1.3077201,0.027737169,1.4923637,0.008581,0.14123698,0.002201,1.6336007,0.008581,0.5963189,7.9081882,0.0037413515,99.398581,0,0,1,,,,2.0761E-7,16.03803,1.710132,1.141195,0
22407032.39,,4881,0,1.2965,1000.007,9.3E-6,1.3073809,0.027669972,1.4813226,0.009105,0.14116562,0.002201,1.6224882,0.009105,0.22581413,7.89208,0.004714167,99.244207,0,0,1,,,,2.0689E-7,15.81638,1.7092448,1.1330459,0
22407250.44,,4881,0,1.3615,1000.007,9.3E-6,1.3738914,0.029005273,1.5829477,0.005572,0.1569849,0.001922,1.7399327,0.005572,0.96404496,7.9422773,0.0042711884,99.341996,0,0,1,,,,2.2027E-7,15.78416,1.8875775,1.1521637,0
22407302.02,,4881,0,1.3619,1000.007,9.3E-6,1.3745249,0.029209668,1.5910382,0.00601,0.15714971,0.001917,1.7481879,0.00601,0.28264274,7.8796374,0.0044946489,99.299542,0,0,1,,,,2.2316E-7,15.88455,1.8893188,1.1575186,0
22407353.83,,4881,0,1.3618,1000.007,9.3E-6,1.3738826,0.029181356,1.5844969,0.006154,0.15698381,0.001922,1.7414807,0.006154,0.17213572,7.8867209,0.0047715668,99.258722,0,0,1,,,,2.2218E-7,15.75927,1.8875535,1.1532986,0
22407570.7,,4881,0,1.4277,1000.007,9.4E-6,1.4409029,0.030567612,1.6822106,0.005598,0.17537241,0.001413,1.857583,0.005598,0.98866002,7.9021369,0.0052670286,99.216443,0,0,1,,,,2.366E-7,15.77344,2.0762011,1.1674698,0
22407621.64,,4881,0,1.428,1000.007,9.3E-6,1.4411168,0.030701626,1.6877385,0.006391,0.17542009,0.001412,1.8631586,0.006391,0.2300504,7.7876553,0.003814788,99.423509,0,0,1,,,,2.4038E-7,15.80427,2.0768175,1.1711324,0
22407672.94,,4881,0,1.4283,1000.007,9.4E-6,1.4410375,0.030568102,1.6829307,0.006272,0.17540865,0.001412,1.8583393,0.006272,0.2661271,7.868085,0.0057121316,99.146004,0,0,1,,,,2.3786E-7,15.57531,2.076589,1.1678604,0
22407889.41,,4881,0,1.4927,1000.007,9.4E-6,1.506592,0.032087281,1.7729355,0.006137,0.1945714,0.001249,1.9675069,0.006137,1.0610716,7.8089085,0.0057055969,99.175818,0,0,1,,,,2.5366E-7,15.73617,2.2698194,1.1767855,0
22407940.61,,4881,0,1.4932,1000.007,9.4E-6,1.5072286,0.032069169,1.7868792,0.006905,0.19474566,0.001248,1.9816248,0.006905,0.21727525,7.7514252,0.0028741382,99.580481,0,0,1,,,,2.5652E-7,15.61782,2.2717381,1.1855396,0
22407990.61,,4881,0,1.4934,1000.007,9.4E-6,1.5070063,0.032046143,1.7736361,0.006791,0.1946801,0.001248,1.9683162,0.006791,0.30038159,7.7221225,0.0044488106,99.350946,0,0,1,,,,2.5625E-7,15.50285,2.2710679,1.1769269,0
22408206.78,,4881,0,1.5593,1000.007,9.2E-6,1.573967,0.033487018,1.8574474,0.00679,0.21570545,0.00131,2.0731529,0.00679,1.0354052,7.7082262,0.00402244,99.438299,0,0,1,,,,2.7017E-7,15.44425,2.4773722,1.1801057,0
22408257.78,,4881,0,1.559,1000.007,9.3E-6,1.5740881,0.033673248,1.8509096,0.007197,0.21574826,0.00131,2.0666578,0.007197,0.18012422,7.6470249,0.0054537354,99.23364,0,0,1,,,,2.7193E-7,15.41645,2.4777534,1.1758615,0
22408308.66,,4881,0,1.5595,1000.007,9.2E-6,1.5741656,0.033507343,1.8575337,0.007151,0.21577558,0.00131,2.0733092,0.007151,0.31513686,7.7008194,0.0054625516,99.235684,0,0,1,,,,2.709E-7,15.29405,2.4779973,1.1800116,0
22408524.88,,4881,0,1.624,1000.007,9.3E-6,1.6400683,0.035099476,1.9265912,0.006375,0.23824098,0.001418,2.1648321,0.006375,0.75472031,7.6136187,0.0060290377,99.187586,0,0,1,,,,2.8618E-7,15.40164,2.6898241,1.1747018,0
22408575.7,,4881,0,1.6242,1000.007,9.3E-6,1.6402443,0.035139456,1.9242972,0.007195,0.23828645,0.001418,2.1625837,0.007195,0.29406018,7.5391791,0.0045506629,99.382124,0,0,1,,,,2.8826E-7,15.22724,2.6904015,1.1731772,0
22408626.67,,4881,0,1.6241,1000.007,9.3E-6,1.6404094,0.03450974,1.9370506,0.0109,0.2384081,0.001418,2.1754587,0.0109,0.05167708,7.4963003,0.0066777995,99.082126,0,0,1,,,,2.9234E-7,15.07836,2.6909429,1.1808336,0
22408840.7,,4881,0,1.6901,1000.007,9.3E-6,1.7063113,0.03628507,1.996735,0.007748,0.26247541,0.001536,2.2592105,0.007748,1.0028196,7.4888116,0.0034683714,99.547804,0,0,1,,,,3.0275E-7,14.9926,2.9114984,1.1702056,0
22408890.72,,4881,0,1.6902,1000.007,9.4E-6,1.7067364,0.036578931,1.9981311,0.007836,0.26266009,0.001537,2.2607911,0.007836,0.36720262,7.514803,0.0050799214,99.339204,0,0,1,,,,3.0241E-7,14.97762,2.912949,1.1707321,0
22408940.83,,4881,0,1.6903,1000.007,9.2E-6,1.7068347,0.036678638,1.9889481,0.008327,0.26269718,0.001537,2.2516453,0.008327,0.20496554,7.4781949,0.005571595,99.274086,0,0,1,,,,3.0281E-7,15.02961,2.9132846,1.1652846,0
22409155.47,,4881,0,1.7548,1000.007,9.4E-6,1.7723693,0.037937914,2.0453481,0.007709,0.28852126,0.001701,2.3338694,0.007709,1.059507,7.2880298,0.0033743049,99.571664,0,0,1,,,,3.2129E-7,14.95639,3.1412928,1.1540192,0
22409205.45,,4881,0,1.7552,1000.007,9.4E-6,1.7726846,0.03780604,2.0532745,0.008467,0.28869434,0.001702,2.3419689,0.008467,0.46068597,7.4559896,0.006034916,99.248009,0,0,1,,,,3.1594E-7,14.57606,3.1424107,1.1582853,0
22409254.84,,4881,0,1.7554,1000.007,9.4E-6,1.7725048,0.038373675,2.0446933,0.008919,0.28863899,0.001701,2.3333323,0.008919,0.21652508,7.4151768,0.0065413113,99.182603,0,0,1,,,,3.1666E-7,14.91198,3.1417734,1.1535615,0
22409468.2,,4881,0,1.8208,1000.007,9.3E-6,1.8396586,0.039620769,2.1075282,0.008478,0.31773868,0.001943,2.4252669,0.008478,1.0214462,7.3104027,0.0060456792,99.270862,0,0,1,,,,3.336E-7,14.83035,3.3843436,1.1456083,0
22409518.2,,4881,0,1.8209,1000.007,9.2E-6,1.8397564,0.039446665,2.1143037,0.008803,0.31776602,0.001944,2.4320697,0.008803,0.58280002,7.2793769,0.0057804893,99.298352,0,0,1,,,,3.3589E-7,14.62081,3.3847036,1.1492302,0
22409567.53,,4881,0,1.8206,1000.007,9.3E-6,1.8398925,0.039524551,2.1113324,0.008859,0.31784015,0.001944,2.4291726,0.008859,0.42028813,7.3204661,0.0057375141,99.308354,0,0,1,,,,3.3358E-7,14.55875,3.3852044,1.1475303,0
22409778.7,,4881,0,1.886,1000.007,9.2E-6,1.9061076,0.040913972,2.165605,0.008453,0.34883734,0.002322,2.5144424,0.008453,0.9646048,7.1951411,0.0055147875,99.356523,0,0,1,,,,3.5114E-7,14.64093,3.6332463,1.1361399,0
22409830.17,,4881,0,1.8862,1000.007,9.3E-6,1.9057146,0.040879474,2.1613717,0.008866,0.34862042,0.002319,2.5099921,0.008866,0.44893312,7.1481754,0.0037144784,99.564605,0,0,1,,,,3.5228E-7,14.39028,3.6317482,1.1341529,0
22409880.2,,4881,0,1.8859,1000.007,9.4E-6,1.9053632,0.040764102,2.1595832,0.009097,0.34847817,0.002317,2.5080613,0.009097,0.36902226,7.2156948,0.0062177495,99.277204,0,0,1,,,,3.4946E-7,14.29635,3.6304088,1.1334234,0
22410093.61,,4881,0,1.9519,1000.007,9.3E-6,1.9721331,0.042094833,2.2279056,0.00905,0.38243916,0.002675,2.6103447,0.00905,0.95851919,7.1792677,0.0064662815,99.277298,0,0,1,,,,3.6552E-7,14.43139,3.8893092,1.1296933,0
22410144.28,,4881,0,1.9523,1000.007,9.3E-6,1.9724028,0.042123105,2.2304523,0.0109,0.3825771,0.002676,2.6130294,0.0109,0.55955367,7.1369365,0.0072812404,99.180564,0,0,1,,,,3.6833E-7,14.35854,3.8903728,1.13083,0
22410195,,4881,0,1.952,1000.007,9.2E-6,1.9726223,0.042368193,2.2067376,0.01035,0.38271402,0.002677,2.5894516,0.01035,0.4536471,7.1469961,0.0079039218,99.118418,0,0,1,,,,3.6466E-7,14.27387,3.8912389,1.1186822,0
22410409.48,,4881,0,2.017,1000.007,9.3E-6,2.0381859,0.043310649,2.2684781,0.009877,0.4192818,0.002806,2.6877599,0.009877,1.6420253,7.0680834,0.0069613419,99.249535,0,0,1,,,,3.8232E-7,14.29399,4.1542019,1.1129888,0
22410459.48,,4881,0,2.0167,1000.007,9.3E-6,2.0383738,0.043456652,2.2615178,0.01109,0.4194526,0.002806,2.6809704,0.01109,0.42422481,7.1371534,0.010714808,98.85687,0,0,1,,,,3.7873E-7,14.13617,4.1549678,1.1094715,0
22410508.5,,4881,0,2.017,1000.007,9.2E-6,2.038524,0.043614584,2.2710724,0.01001,0.41951586,0.002806,2.6905883,0.01001,0.40104826,7.1032068,0.007893004,99.152605,0,0,1,,,,3.8109E-7,14.27431,4.1555799,1.1140769,0
22410720.05,,4881,0,2.0831,1000.007,9.2E-6,2.1050687,0.044491889,2.3347437,0.01048,0.46001813,0.002641,2.7947619,0.01048,1.0297421,7.0914232,0.0085821191,99.116767,0,0,1,,,,3.9656E-7,14.20641,4.4313144,1.1091057,0
22410769.98,,4881,0,2.0833,1000.007,9.2E-6,2.1053762,0.044489742,2.3388506,0.0116,0.46012241,0.00264,2.798973,0.0116,0.83913586,6.9612015,0.0038142003,99.600485,0,0,1,,,,4.0321E-7,14.18285,4.4326091,1.1108943,0
22410819.48,,4881,0,2.0833,1000.007,9.3E-6,2.1050907,0.044237763,2.3261227,0.01027,0.46016778,0.00264,2.7862905,0.01027,0.37791974,7.006799,0.006478251,99.327636,0,0,1,,,,3.9953E-7,13.9224,4.4314068,1.1049988,0
22411028.66,,4881,0,2.1481,1000.007,9.3E-6,2.1708666,0.04544421,2.3849355,0.01096,0.50321786,0.002363,2.8881534,0.01096,0.95521709,6.9533545,0.0064811202,99.350618,0,0,1,,,,4.1721E-7,14.0136,4.7126618,1.0986099,0
22411077.23,,4881,0,2.1484,1000.007,9.3E-6,2.1712237,0.045555851,2.3836981,0.01083,0.50346796,0.002362,2.887166,0.01083,0.45147865,6.9375587,0.0072835232,99.268823,0,0,1,,,,4.1826E-7,13.90671,4.7142123,1.0978593,0
22411127.17,,4881,0,2.1481,1000.007,9.3E-6,2.1713353,0.045367926,2.3831359,0.01183,0.50348066,0.002362,2.8866165,0.01183,0.63835329,6.8679541,0.0052203761,99.471114,0,0,1,,,,4.2183E-7,13.87512,4.7146971,1.0975439,0
22411336.61,,4881,0,2.2132,1000.007,9.3E-6,2.238257,0.046196837,2.4586426,0.006269,0.55014968,0.002177,3.0087923,0.006269,1.1510125,6.9980743,0.0074788809,99.282992,0,0,1,,,,4.3202E-7,13.73591,5.0097946,1.098463,0
22411385.64,,4881,0,2.2138,1000.007,9.3E-6,2.2406873,0.047248133,2.4429384,0.007207,0.55191933,0.002175,2.9948577,0.007207,0.32711919,6.9238323,0.0061889168,99.404204,0,0,1,,,,4.3427E-7,13.99615,5.0206795,1.090263,0
22411434.08,,4881,0,2.214,1000.007,9.3E-6,2.2360083,0.046527465,2.4627316,0.007602,0.54852472,0.00218,3.0112563,0.007602,0.17282942,6.9211653,0.0066062435,99.357889,0,0,1,,,,4.3696E-7,13.84766,4.9997332,1.1013964,0
22411641.8,,4881,0,2.2788,1000.007,9.4E-6,2.3037436,0.048054212,2.5014708,0.00699,0.59795353,0.002188,3.0994244,0.00699,1.2955638,6.9612614,0.0075941655,99.297855,0,0,1,,,,4.4729E-7,13.84233,5.3072344,1.0858287,0
22411689.8,,4881,0,2.2791,1000.007,9.3E-6,2.3045893,0.048537196,2.5031328,0.008028,0.59860555,0.002189,3.1017383,0.008028,0.15190968,6.9313974,0.0076683388,99.288108,0,0,1,,,,4.4958E-7,13.92252,5.3111321,1.0861513,0
22411740.19,,4881,0,2.2788,1000.007,9.4E-6,2.3027557,0.048283145,2.5040047,0.007165,0.59725146,0.002188,3.1012561,0.007165,0.31314236,6.9624005,0.0087946446,99.185608,0,0,1,,,,4.4782E-7,13.86279,5.302684,1.0873948,0
22411952.19,,4881,0,2.3457,1000.007,9.3E-6,2.369275,0.049638211,2.5734119,0.007248,0.64805339,0.002297,3.2214653,0.007248,1.9365994,6.9429067,0.0057965518,99.479709,0,0,1,,,,4.6554E-7,13.9248,5.6134638,1.0861601,0
22412001.56,,4881,0,2.3449,1000.007,9.3E-6,2.3674139,0.049689569,2.5802503,0.007681,0.6466789,0.002293,3.2269293,0.007681,0.42750497,6.9970426,0.010434489,99.066882,0,0,1,,,,4.6397E-7,13.88581,5.6046488,1.0899025,0
22412050.52,,4881,0,2.345,1000.007,9.4E-6,2.370573,0.050132134,2.5647812,0.008251,0.64909631,0.0023,3.2138775,0.008251,0.22139085,6.9022621,0.0061159352,99.449404,0,0,1,,,,4.6727E-7,13.99409,5.6196163,1.0819246,0
22412258.53,,4881,0,2.4096,1000.007,9.3E-6,2.4389487,0.050797843,2.6293828,0.008185,0.70511803,0.002476,3.3345008,0.008185,2.1909789,7.0006335,0.0090290552,99.225029,0,0,1,,,,4.7863E-7,13.80452,5.9484706,1.0780804,0
22412306.52,,4881,0,2.4099,1000.007,9.3E-6,2.4384912,0.051324525,2.6297785,0.009629,0.70474211,0.002475,3.3345206,0.009629,0.12107895,6.9449336,0.0089401505,99.2262,0,0,1,,,,4.8247E-7,14.00127,5.9462395,1.0784449,0
22412355.17,,4881,0,2.4097,1000.007,9.3E-6,2.4389572,0.05130179,2.6334778,0.009319,0.70514259,0.002476,3.3386204,0.009319,0.15287161,6.963847,0.0085574203,99.261043,0,0,1,,,,4.8165E-7,13.88987,5.948512,1.0797557,0
22412565.66,,4881,0,2.4757,1000.007,9.2E-6,2.5006178,0.052182439,2.6931266,0.007236,0.75982632,0.002654,3.4529529,0.007236,1.2970674,6.9759412,0.0092095969,99.229474,0,0,1,,,,4.9732E-7,13.92769,6.2530894,1.0769845,0
22412615.47,,4881,0,2.4756,1000.007,9.4E-6,2.5057192,0.053040939,2.6896542,0.007962,0.76462148,0.00267,3.4542756,0.007962,0.20443001,7.00324,0.007871216,99.346979,0,0,1,,,,4.9521E-7,13.95188,6.2786287,1.0734061,0
22412666.48,,4881,0,2.4762,1000.007,9.4E-6,2.5016599,0.05282521,2.6975312,0.007883,0.76089409,0.002657,3.4584253,0.007883,0.50844554,7.0081354,0.010892851,99.092431,0,0,1,,,,4.9624E-7,14.00648,6.2583022,1.0782965,0
22412873.81,,4881,0,2.5405,1000.007,9.2E-6,2.5724557,0.054553027,2.6987359,0.007901,0.82848693,0.002929,3.5272229,0.007901,0.80527072,6.9620418,0.008930131,99.285367,0,0,1,,,,5.0877E-7,14.01627,6.6175283,1.0490894,0
22412922.42,,4881,0,2.5418,1000.007,9.4E-6,2.5662623,0.054406709,2.7126745,0.008178,0.82238158,0.002901,3.5350561,0.008178,0.35686358,6.912836,0.010773222,99.125613,0,0,1,,,,5.1404E-7,13.92408,6.585702,1.0570527,0
22412971.58,,4881,0,2.5405,1000.007,9.2E-6,2.5706667,0.054119149,2.7116416,0.009274,0.82673591,0.002921,3.5383775,0.009274,0.24403394,6.982381,0.011583054,99.07199,0,0,1,,,,5.0955E-7,13.82567,6.6083274,1.0548398,0
22413179.98,,4881,0,2.6069,1000.007,9.4E-6,2.6349321,0.055771665,2.7529215,0.008431,0.89193624,0.003225,3.6448577,0.008431,1.3264968,6.8815562,0.0079714546,99.372697,0,0,1,,,,5.3157E-7,13.96476,6.942867,1.0447789,0
22413229.45,,4881,0,2.6071,1000.007,9.3E-6,2.6335456,0.055505219,2.7588014,0.008858,0.89045766,0.003218,3.6492591,0.008858,0.23713796,6.8892989,0.0074939768,99.409816,0,0,1,,,,5.315E-7,13.76311,6.9355622,1.0475617,0
22413277.64,,4881,0,2.6071,1000.007,9.2E-6,2.6364306,0.055684495,2.7584381,0.009793,0.89349778,0.003232,3.6519359,0.009793,0.23690183,6.8817181,0.0081533592,99.3583,0,0,1,,,,5.3263E-7,13.7786,6.9507664,1.0462775,0
22413486.97,,4881,0,2.6716,1000.007,9.2E-6,2.7026447,0.056463625,2.8146186,0.009288,0.96534705,0.003533,3.7799657,0.009288,1.6677622,6.974069,0.01196118,99.09717,0,0,1,,,,5.4475E-7,13.76344,7.3042885,1.0414312,0
22413537.27,,4881,0,2.672,1000.007,9.3E-6,2.7015699,0.057413119,2.8301586,0.008893,0.96421548,0.003529,3.7943741,0.008893,0.3990367,6.9604473,0.010116805,99.232479,0,0,1,,,,5.4748E-7,13.94814,7.2984798,1.0475978,0
22413586.89,,4881,0,2.672,1000.007,9.4E-6,2.7002595,0.057152088,2.8391446,0.009141,0.96272655,0.003524,3.8018711,0.009141,0.52662014,6.9570078,0.010474394,99.203062,0,0,1,,,,5.4893E-7,13.92089,7.2914015,1.051434,0
22413797.47,,4881,0,2.738,1000.007,9.4E-6,2.7676613,0.057157907,2.9897275,0.01065,1.0405516,0.003748,4.0302792,0.01065,1.0210575,7.1259029,0.0081096627,99.405427,0,0,1,,,,5.6745E-7,13.91402,7.6599489,1.0802361,0
22413848.13,,4881,0,2.7379,1000.007,9.2E-6,2.7690463,0.058272824,3.0076145,0.01046,1.041852,0.00375,4.0494665,0.01046,0.44235793,7.1479021,0.007228015,99.470518,0,0,1,,,,5.6819E-7,14.25181,7.6676171,1.0861554,0
22413900.09,,4881,0,2.7377,1000.007,9.3E-6,2.7676766,0.058408638,2.9796942,0.0107,1.0402128,0.003747,4.019907,0.0107,0.40270177,7.0982595,0.008693984,99.361018,0,0,1,,,,5.6833E-7,14.2958,7.660034,1.0766049,0
22414144.02,,4881,0,2.8028,1000.007,9.3E-6,2.8360971,0.057202015,3.2592533,0.01271,1.1247774,0.003798,4.3840307,0.01271,1.1528899,7.4419219,0.0047369978,99.666162,0,0,1,,,,5.9019E-7,14.19652,8.0434465,1.1492037,0
22414195.22,,4881,0,2.8035,1000.007,9.3E-6,2.827245,0.058812144,3.2727235,0.01452,1.1138458,0.003804,4.3865693,0.01452,1.3180704,7.4688251,0.0094908486,99.328712,0,0,1,,,,5.8953E-7,14.88384,7.9933144,1.1575663,0
22414245.39,,4881,0,2.8032,1000.007,9.2E-6,2.8315356,0.0594365,3.2681251,0.01525,1.1193898,0.003801,4.3875149,0.01525,0.26045469,7.5014065,0.0087362927,99.386744,0,0,1,,,,5.869E-7,14.93765,8.0175941,1.1541882,0
22414455.61,,4881,0,2.8698,1000.007,9.3E-6,2.9028932,0.067870638,2.6192166,0.03263,1.2143007,0.003676,3.8335173,0.03263,27.528498,7.0544977,0.043430225,97.159754,0,0,1,,,,5.5088E-7,15.00281,8.4267887,0.902278,0
22414505.05,,4881,0,2.8689,1000.007,9.2E-6,2.8960266,0.065351983,2.6643082,0.0335,1.2045101,0.003693,3.8688183,0.0335,7.8835915,6.9776025,0.037590794,97.489871,0,0,1,,,,5.6127E-7,14.109,8.3869703,0.91998747,0
22414554.44,,4881,0,2.8685,1000.007,9.3E-6,2.8992156,0.064985331,2.6620412,0.03359,1.2092125,0.003685,3.8712537,0.03359,17.247968,6.9371641,0.027441748,98.159882,0,0,1,,,,5.6301E-7,13.9552,8.4054513,0.91819358,0
22414810.28,,4881,0,2.9342,1000.007,9.4E-6,2.9664128,0.063923912,1.6907958,0.00881,1.3014678,0.003526,2.9922637,0.00881,1.2137384,5.0550298,0.021786488,98.257272,0,0,1,,,,5.953E-7,10.06949,8.7996049,0.56997995,0
22414855.63,,4881,0,2.9342,1000.007,9.3E-6,2.9640264,0.063791689,1.6848473,0.008339,1.2978677,0.003531,2.982715,0.008339,1.6971354,4.9589708,0.019723751,98.391116,0,0,1,,,,6.0463E-7,10.11006,8.7854524,0.56843196,0
22414899.61,,4881,0,2.9338,1000.007,9.4E-6,2.9623663,0.063262583,1.6930411,0.008468,1.296485,0.003533,2.9895261,0.008468,1.9207608,4.9933489,0.021380587,98.267291,0,0,1,,,,6.021E-7,9.917942,8.7756141,0.57151645,0
22415104.58,,4881,0,2.9999,1000.007,9.3E-6,3.0310405,0.068649373,1.3445675,0.005895,1.3942942,0.003452,2.7388617,0.005895,0.60402705,4.4564596,0.027062363,97.600102,0,0,1,,,,6.1825E-7,9.986698,9.1872062,0.44359932,0
22415148.58,,4881,0,2.9997,1000.007,9.4E-6,3.0300995,0.065267404,1.3331164,0.006298,1.3933577,0.003452,2.7264741,0.006298,0.61814961,4.4497064,0.020939898,98.13493,0,0,1,,,,6.1553E-7,8.912919,9.1815031,0.43995795,0
22415192.45,,4881,0,3.0002,1000.007,9.3E-6,3.0315791,0.064659019,1.3426135,0.00634,1.3955502,0.003452,2.7381637,0.00634,0.71845756,4.45599,0.025765465,97.713495,0,0,1,,,,6.1797E-7,8.899413,9.1904716,0.44287597,0
22415426.75,Error: Warning: Current field is 2333.347 Oe;
22415427.08,Error: but addenda was obtained at -0.025 Oe.
22415737.05,,4881,0,1.0996,2333.347,9.3E-6,1.1066982,0.021391589,1.1836755,0.007918,0.10461611,0.001336,1.2882916,0.007918,0.93302122,8.2497645,0.0061346723,98.99637,0,0,1,,,,1.575E-7,14,1.224781,1.0695558,0
22415790.34,,4881,0,1.1003,2333.347,9.2E-6,1.1084019,0.023880527,1.185821,0.006063,0.10490716,0.001341,1.2907282,0.006063,0.74415145,8.1863203,0.0050246671,99.173292,0,0,1,,,,1.5878E-7,16.49953,1.2285549,1.0698475,0
22415842.42,,4881,0,1.1002,2333.347,9.3E-6,1.1086673,0.02346643,1.1892925,0.007894,0.10493511,0.001341,1.2942276,0.007894,0.13874025,7.9541607,0.0033292105,99.436032,0,0,1,,,,1.6349E-7,16.37264,1.2291432,1.0727226,0
22416086.48,,4881,0,1.1664,2333.347,9.3E-6,1.174766,0.024335521,1.2937364,0.007584,0.11768302,0.00157,1.4114194,0.007584,1.4339596,8.0735971,0.0046549907,99.241666,0,0,1,,,,1.7594E-7,15.90832,1.3800752,1.1012716,0
22416137.47,,4881,0,1.1665,2333.347,9.3E-6,1.1749825,0.025010532,1.2791856,0.007771,0.11773989,0.001571,1.3969255,0.007771,0.63495393,8.0867925,0.0059335807,99.043097,0,0,1,,,,1.7414E-7,16.14719,1.3805839,1.0886848,0
