[Header]
TITLE,eupd3s4_field_sweeps
BYAPP,HeatCapacity,3.8.14,1.7
INFO,0,MASS:Sample Mass (mg)
INFO,0,MASSERR:Sample Mass Error (mg)
INFO,0,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.14 Build 19,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
22563901.17,Error: Warning: Current field is 6000.029 Oe;
22563901.34,Error: but addenda was obtained at 10000.058 Oe.
22564455.11,,4881,0,1.75,6000.029,9.3E-6,1.7675792,0.038588677,1.8227895,0.007291,0.29513983,0.001858,2.1179293,0.007291,1.5234918,6.7220331,0.0044774531,99.44312,0,0,1,,,,3.1638E-7,14,3.1243362,1.031235,0
22564505.44,,4881,0,1.7499,6000.029,9.3E-6,1.7675241,0.038102154,1.8226194,0.00794,0.29511461,0.001857,2.117734,0.00794,0.33696028,6.7711172,0.0057400419,99.290737,0,0,1,,,,3.1442E-7,13.44407,3.1241413,1.0311709,0
22564553.2,,4881,0,1.7503,6000.029,9.4E-6,1.7675157,0.03803712,1.8280348,0.007806,0.29508754,0.001857,2.1231223,0.007806,0.2722473,6.7041064,0.0047118602,99.411007,0,0,1,,,,3.1808E-7,13.54223,3.1241116,1.0342396,0
22564690.58,Error: Warning: Current field is 5793.08 Oe;
22564690.88,Error: but addenda was obtained at 10000.058 Oe.
22564747.13,,4881,0,1.7499,5793.08,9.3E-6,1.7678091,0.038500141,1.8239146,0.00721,0.29524051,0.001859,2.1191551,0.00721,1.0448446,6.7263716,0.0057782911,99.28108,0,0,1,,,,3.1674E-7,14,3.1251489,1.0317373,0
22564796.14,,4881,0,1.7499,5793.08,9.3E-6,1.7674202,0.038026231,1.8193594,0.008312,0.29504714,0.001857,2.1144066,0.008312,0.50674335,6.6895042,0.0052942191,99.338747,0,0,1,,,,3.1764E-7,13.45274,3.123774,1.029387,0
22564845.3,,4881,0,1.7502,5793.08,9.3E-6,1.7676306,0.037809557,1.829585,0.0077,0.29513337,0.001857,2.1247184,0.0077,0.46110012,6.7300831,0.0049849575,99.378865,0,0,1,,,,3.1717E-7,13.37901,3.124518,1.0350494,0
22564981.13,Error: Warning: Current field is 5586.189 Oe;
22564981.39,Error: but addenda was obtained at 10000.058 Oe.
