[Header]
TITLE,0p19mg_drhc_EuPd2S4_11132020.dat
BYAPP,HeatCapacity,3.8.14,1.7
INFO,0.20,MASS:Sample Mass (mg)
INFO,0,MASSERR:Sample Mass Error (mg)
INFO,0,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.14 Build 19,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
27444309.36,Error: Error at T = 0.12 K while attempting to measure time window: The requested temperature rise delT = 0.00239917728285858 will produce a resistance change of only delRtrip = -77.5491783286652.  However; I measure the noise to be SigmaThRes = 11.3906188083103
27444309.55,Error: Using default time-constant of 1.0199 seconds
27444366.66,Error: Warning:  Measured time constant less than time constant calculated from addenda table.  Changing time constant to addenda table value
27444366.75,CALFILE: DRPuck93_2.cal - Addenda #13 measured on 11/11/2020 from 0.10028 to 3.7096 K
27444366.89,,4881,0,0.12,-0.011,9.3E-6,0.12019517,0.00029163826,0.0317584,0.0003798,0.0059476113,0.0003798,0.037706011,0,1.0824758,1.1565012,0,100,0,0,1,,,,3.2604E-8,2.03984,0.014446878,0.26422361,0
27444661.34,,4881,0,0.1199,-0.011,9.3E-6,0.12151693,0.0026945199,0.051546055,0.002514,0.0060075623,0.000456,0.057553617,0.002473,2.1230364,15.809569,0,100,0,0,1,,,,3.6404E-9,29.52247,0.014766365,0.42418825,0
27444809.97,,4881,0,0.12,-0.011,9.4E-6,0.12144911,0.002807743,0.052377142,0.002231,0.006005247,0.0004531,0.058382389,0.002184,1.3630569,16.160968,0,100,0,0,1,,,,3.6126E-9,31.61914,0.014749887,0.43126822,0
27445240.14,,4881,0,0.138,-0.011,9.2E-6,0.1396158,0.0033014795,0.040872856,0.001523,0.0061781443,0.0007098,0.047051,0.001348,2.1471393,10.216857,0,100,0,0,1,,,,4.6052E-9,21.09355,0.019492573,0.29275236,0
27445334.94,,4881,0,0.138,-0.011,9.4E-6,0.13977515,0.0033313505,0.040256477,0.001475,0.0061792307,0.000709,0.046435708,0.001293,1.3974744,10.440558,0,100,0,0,1,,,,4.4476E-9,20.43371,0.019537093,0.28800882,0
27445431.28,,4881,0,0.138,-0.011,9.3E-6,0.13967454,0.0033953292,0.040183082,0.001507,0.0061786324,0.0007094,0.046361714,0.00133,1.6635787,10.425545,0,100,0,0,1,,,,4.4469E-9,20.88112,0.019508978,0.28769081,0
