[Header]
TITLE,finish_0T_0p1_2p4
BYAPP,HeatCapacity,3.8.14,1.7
INFO,0,MASS:Sample Mass (mg)
INFO,0,MASSERR:Sample Mass Error (mg)
INFO,0,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.14 Build 19,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
4803276.77,Error: Warning: Current field is -0.022 Oe;
4803276.91,Error: but addenda was obtained at 20000.107 Oe.
4811534.17,,4881,0,0.099978,-0.022,9.3E-6,0.10054113,0.0022832538,0.78509588,0.02261,0.0040382781,-0.02177,0.78913416,0.006091,2.3003472,255.66461,0,100,0,0,1,,,,3.0866E-9,796.9986,0.010108518,7.8087037,0
4813655.58,,4881,0,0.099976,-0.022,9.4E-6,0.10046926,0.0022533052,0.78456538,0.02277,0.0040394294,-0.02179,0.78860481,0.006612,2.9012242,256.82888,0,100,0,0,1,,,,3.0705E-9,766.9938,0.010094073,7.809009,0
4816124.28,,4881,0,0.221,-0.022,9.2E-6,0.22259208,0.0054365704,0.19620064,0.003445,0.004834327,7.064E-5,0.20103497,0.003445,1.6286915,16.048273,0,100,0,0,1,,,,1.2527E-8,48.65435,0.049547236,0.88143585,0
4816268.28,,4881,0,0.2209,-0.022,9.4E-6,0.22239128,0.005439457,0.19831287,0.003121,0.004828565,6.139E-5,0.20314143,0.00312,1.5421687,16.109946,0,100,0,0,1,,,,1.261E-8,48.14482,0.049457882,0.89172951,0
4816731.22,,4881,0,0.342,-0.022,9.3E-6,0.34381261,0.0079910557,0.28632775,0.004319,0.010702084,0.0008906,0.29702983,0.004226,1.1587679,10.442016,0,100,0,0,1,,,,2.8446E-8,31.97964,0.11820711,0.83280177,0
4816834.5,,4881,0,0.342,-0.022,9.3E-6,0.34398472,0.0081304662,0.28905785,0.0036,0.010709576,0.0008908,0.29976743,0.0036,1.1635001,10.595707,0.00026850618,99.926394,0,0,1,,,,2.8311E-8,31.32605,0.11832549,0.84032177,0
4817330.95,,4881,0,0.4633,-0.022,9.3E-6,0.46556381,0.010618555,0.98641011,0.005915,0.02003732,0.0009456,1.0064474,0.005915,1.4344363,20.012001,0.00050593782,99.870279,0,0,1,,,,5.0355E-8,62.42291,0.21674966,2.1187431,0
4817499.23,,4881,0,0.463,-0.022,9.4E-6,0.46552453,0.010430045,0.97962705,0.006377,0.020038175,0.0009457,0.99966522,0.006377,0.8316507,20.116796,0.0020643159,99.475056,0,0,1,,,,4.9945E-8,60.036,0.21671309,2.1043511,0
4818171.27,,4881,0,0.5841,-0.022,9.4E-6,0.58648804,0.012619167,2.4381681,0.01367,0.032239536,0.001793,2.4704076,0.01367,0.98688808,32.755174,0.0024453346,99.417158,0,0,1,,,,7.5851E-8,100.136,0.34396822,4.1572341,0
