[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3903160051.17246,09/06/2023,11:07 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 F0,MOTOR_HW_VERSION
INFO,MMC1118,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM313,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB345,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC210,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI318,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,EuPd3S4,SAMPLE_MATERIAL
INFO,Powder,SAMPLE_COMMENT
INFO,74.93,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,70.27,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3903161302.83762,2.00031185150146,500.010986328125,,,3,,,,28.0456981658936,,,,,,,,,,,,,,,,,,,,,,,,,2.00031185150146,2.00031185150146,500.010986328125,500.010986328125,,,2.98672223091126,,0,,,,,,5,1,1,2.00031185150146,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3903161328.96059,2.00238215923309,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,1.99575114250183,2.00448966026306,500.010986328125,500.010986328125,,,2.94100570678711,,1,0,0,0,0,28.8367557525635,1,1,1,2.00027465820313,0,4232058304,2.00084066390991,,,0.105702084252294,0.00520780025537489,0.105703636694152,0.00520780100785511,0.990575015544891,0.992270350456238,28.0252666473389,0,30,1,200,-0.0166674740612507,-4.10321664810181,0.864282310009003,1,,,,,,,,,,,,,,,,
,3903161337.46056,2.06411015987396,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.03561401367187,2.07725930213928,500.010986328125,500.010986328125,,,2.99456596374512,,1,0,0,0,0,28.8367557525635,6,1,1,2.09260630607605,0,4232058272,2.05275046825409,,,0.106024121883412,0.0052236761140573,0.106025761316931,0.00522367807346561,0.990337073802948,0.992050230503082,28.0248851776123,0.186310112476349,30,1,200,-0.015388404019177,-4.1131010055542,0.868267357349396,1,,,,,,,,,,,,,,,,
,3903161341.66521,2.12304711341858,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.09391617774963,2.13309526443481,500.010986328125,500.010986328125,,,3.03329825401306,,1,0,0,0,0,28.8367557525635,6,1,1,2.15217804908752,0,4232058336,2.11018872261047,,,0.106730554142211,0.00525848981823093,0.106732222802512,0.00525849048643396,0.990195572376251,0.991930603981018,28.0245990753174,1.30675280161086E-5,30,1,200,-0.015043375082314,-4.13925123214722,0.877656817436218,1,,,,,,,,,,,,,,,,
,3903161345.98968,2.18159258365631,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.15311336517334,2.19300985336304,500.010986328125,500.010986328125,,,3.08225560188293,,1,0,0,0,0,28.8367557525635,6,1,1,2.21220397949219,0,4232058304,2.16876322031021,,,0.107617817857008,0.00530221361446208,0.10761966833739,0.00530221733554294,0.990017235279083,0.99183464050293,28.0239372253418,0.384345412254334,30,1,200,-0.0148523934185505,-4.17094373703003,0.889065802097321,1,,,,,,,,,,,,,,,,
,3903161350.43287,2.24313032627106,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.21285343170166,2.25695896148682,500.010986328125,500.010986328125,,,3.12695360183716,,1,0,0,0,0,28.8367557525635,6,1,1,2.27340722084045,0,4232057984,2.23194497823715,,,0.108609431614224,0.00535107049853657,0.108611354021684,0.0053510724637826,0.98995703458786,0.99186372756958,28.0233879089355,1,30,1,200,-0.0146956071257591,-4.20519495010376,0.901131391525269,1,,,,,,,,,,,,,,,,
,3903161354.73777,2.3063725233078,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.27674746513367,2.31740260124207,500.010986328125,500.010986328125,,,3.15977215766907,,1,0,0,0,0,28.8367557525635,6,1,1,2.33679533004761,0,4232058336,2.29344230890274,,,0.109527329881741,0.00539630216853566,0.109529326526588,0.00539630132806095,0.989865839481354,0.991879999637604,28.0227222442627,5.29364919662476,30,1,200,-0.0152027253061533,-4.2474513053894,0.901034235954285,1,,,,,,,,,,,,,,,,
,3903161358.96586,2.36715519428253,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.33679533004761,2.37680077552795,500.010986328125,500.010986328125,,,3.20946264266968,,1,0,0,0,0,28.8367557525635,6,1,1,2.39751505851746,0,4232058144,2.35307103395462,,,0.110372579241943,0.00543795388888467,0.110374830632622,0.00543795650118716,0.98972624540329,0.991893351078033,28.021785736084,5.3674373626709,30,1,200,-0.0153899844735861,-4.27682542800903,0.911090433597565,1,,,,,,,,,,,,,,,,
,3903161363.19344,2.42677867412567,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.39751505851746,2.4382312297821,500.010986328125,500.010986328125,,,3.23944115638733,,1,0,0,0,0,28.3479976654053,6,1,1,2.45604228973389,0,4232058112,2.41395533084869,,,0.111151016035247,0.00547631431571595,0.111153518477174,0.00547631996694858,0.989599943161011,0.991925299167633,28.0208644866943,,30,1,200,-0.0155828343704343,-4.30274057388306,0.920334935188294,1,,,,,,,,,,,,,,,,
,3903161367.36825,2.48601484298706,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.45604228973389,2.50153994560242,500.010986328125,500.010986328125,,,3.28665161132812,,1,0,0,0,0,29.3255138397217,6,1,1,2.51598739624023,0,4232058080,2.47254782915115,,,0.111854743755524,0.00551099417725425,0.111857359262084,0.0055109956001293,0.989456355571747,0.991942465305328,28.0199279785156,0,30,1,200,-0.0159117579460144,-4.33734226226807,0.917580664157867,1,,,,,,,,,,,,,,,,
,3903161371.51601,2.54485547542572,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.51743745803833,2.55806016921997,500.010986328125,500.010986328125,,,3.32589793205261,,1,0,0,0,0,28.8367557525635,6,1,1,2.57227349281311,0,4232058272,2.53390866518021,,,0.112488445774072,0.00554222817492324,0.112491355758136,0.00554223163442729,0.98925656080246,0.991941690444946,28.0187740325928,0,30,1,200,-0.0163154099136591,-4.3589653968811,0.92496532201767,1,,,,,,,,,,,,,,,,
,3903161375.6785,2.60522055625916,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.57522034645081,2.61701774597168,500.010986328125,500.010986328125,,,3.36437940597534,,1,0,0,0,0,28.3479976654053,6,1,1,2.6352207660675,0,4232058048,2.59205317497253,,,0.113043533759099,0.00556958450052497,0.113046647003335,0.00556958586915686,0.989105820655823,0.99199378490448,28.0177040100098,9.91649130810401E-7,30,1,200,-0.0167799815535545,-4.37913084030151,0.931237637996674,1,,,,,,,,,,,,,,,,
,3903161379.85264,2.66539812088013,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.63649296760559,2.67769360542297,500.010986328125,500.010986328125,,,3.39981079101562,,1,0,0,0,0,28.8367557525635,6,1,1,2.69557547569275,0,4232058176,2.65210455656052,,,0.113472039363905,0.00559071062654111,0.11347550840241,0.00559071530624883,0.98889833688736,0.992013514041901,28.0164794921875,INF,30,1,200,-0.0168841797858477,-4.39534664154053,0.935625791549683,1,,,,,,,,,,,,,,,,
,3903161384.08283,2.72681868076324,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.69718503952026,2.73849272727966,500.010986328125,500.010986328125,,,3.42622351646423,,1,0,0,0,0,28.3479976654053,6,1,1,2.75645232200623,0,4232058144,2.71320980787277,,,0.11371662427706,0.00560277136465609,0.113720272399575,0.00560277293695383,0.988747894763946,0.992061674594879,28.0154819488525,5.29296541213989,30,1,200,-0.0173925030976534,-4.40610885620117,0.937516093254089,1,,,,,,,,,,,,,,,,
,3903161388.26327,2.78709864616394,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.75645232200623,2.79861378669739,500.010986328125,500.010986328125,,,3.47060561180115,,1,0,0,0,0,29.8142719268799,6,1,1,2.81774497032166,0,4232058016,2.77330112457275,,,0.113751976802614,0.00560451731266636,0.113755791689194,0.00560452001323391,0.988650679588318,0.9920814037323,28.0148906707764,0,30,1,200,-0.0177047159522772,-4.40908670425415,0.936661243438721,1,,,,,,,,,,,,,,,,
,3903161392.43248,2.84911477565765,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.81774497032166,2.85968494415283,500.010986328125,500.010986328125,,,3.50686979293823,,1,0,0,0,0,28.8367557525635,6,1,1,2.88048458099365,0,4232058016,2.83216053247452,,,0.113689747000521,0.00560146177330004,0.11369379058127,0.00560146822768212,0.988509118556976,0.992048978805542,28.0142631530762,0,30,1,200,-0.0176486670970917,-4.40733814239502,0.935565769672394,1,,,,,,,,,,,,,,,,
,3903161396.58815,2.91129124164581,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.88254761695862,2.92327213287354,500.010986328125,500.010986328125,,,3.54596853256226,,1,0,0,0,0,27.3704795837402,6,1,1,2.94003486633301,0,4232058400,2.89883607625961,,,0.113700537645083,0.00560200104863091,0.113704639116365,0.0056020043026588,0.988392412662506,0.992014944553375,28.0137729644775,0.395496070384979,30,1,200,-0.0173690486699343,-4.40700054168701,0.935835838317871,1,,,,,,,,,,,,,,,,
,3903161400.83796,2.97145175933838,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,2.94003486633301,2.98596739768982,500.010986328125,500.010986328125,,,3.57547163963318,,1,0,0,0,0,28.8367557525635,6,1,1,3.00286865234375,0,4232058304,2.96025109291077,,,0.113846914830604,0.00560921570937988,0.11385117440117,0.00560922145203802,0.988324403762817,0.992028415203095,28.0133724212646,1,30,1,200,-0.0173827856779098,-4.41155672073364,0.937486171722412,1,,,,,,,,,,,,,,,,
,3903161405.11223,3.03737795352936,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.00698971748352,3.04698514938354,500.010986328125,500.010986328125,,,3.61243748664856,,1,0,0,0,0,28.8367557525635,6,1,1,3.0677661895752,0,4232058080,3.02317363023758,,,0.113239046370971,0.00557929774472565,0.113243378130719,0.00557930507179192,0.987882196903229,0.991457760334015,28.0131320953369,,30,1,200,-0.0206666886806488,-4.40656805038452,0.924519538879395,1,,,,,,,,,,,,,,,,
,3903161409.28199,3.09795987606049,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.0677661895752,3.11080169677734,500.010986328125,500.010986328125,,,3.64491534233093,,1,0,0,0,0,28.3479976654053,6,1,1,3.12815356254578,0,4232058112,3.08467721939087,,,0.111295930272949,0.0054836099455973,0.111300326423571,0.00548361748764926,0.987152755260468,0.990575850009918,28.0126113891602,0.390558451414108,30,1,200,-0.0217222720384598,-4.34720373153687,0.903879106044769,1,,,,,,,,,,,,,,,,
,3903161413.41719,3.15807807445526,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.12815356254578,3.16749238967895,500.010986328125,500.010986328125,,,3.6629695892334,,1,0,0,0,0,28.3479976654053,6,1,1,3.18800258636475,0,4232058400,3.14413672685623,,,0.109106490185075,0.00537574746930223,0.109110746189483,0.00537575147427436,0.986959517002106,0.990328371524811,28.0125503540039,0,30,1,200,-0.0218028128147125,-4.26324844360352,0.885745823383331,1,,,,,,,,,,,,,,,,
,3903161417.57294,3.22198450565338,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.19049835205078,3.23048543930054,500.010986328125,500.010986328125,,,3.70805191993713,,1,0,0,0,0,28.8367557525635,6,1,1,3.25347065925598,0,4232058272,3.20744788646698,,,0.106912767870721,0.00526767658291546,0.106917015332145,0.0052676824824286,0.986731648445129,0.990057945251465,28.0124015808105,0,30,1,200,-0.0211463961750269,-4.17932033538818,0.867977499961853,1,,,,,,,,,,,,,,,,
,3903161421.82065,3.28329610824585,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.25524687767029,3.29580974578857,500.010986328125,500.010986328125,,,3.73164319992065,,1,0,0,0,0,28.3479976654053,6,1,1,3.31134533882141,0,4232058112,3.27057474851608,,,0.104653807332324,0.00515639123777272,0.104657964058224,0.00515639411691346,0.98652970790863,0.9898442029953,28.0121631622314,,30,1,200,-0.0208930987864733,-4.09266567230225,0.849860370159149,1,,,,,,,,,,,,,,,,
,3903161426.02835,3.34325075149536,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.31134533882141,3.35425639152527,500.010986328125,500.010986328125,,,3.77096796035767,,1,0,0,0,0,28.3479976654053,6,1,1,3.37515616416931,0,4232058240,3.33019995689392,,,0.102437660456521,0.005047210580461,0.102441798846259,0.00504721732018213,0.986376225948334,0.98963212966919,28.01220703125,0.186307638883591,30,1,200,-0.0204247739166021,-4.00691986083984,0.832094609737396,1,,,,,,,,,,,,,,,,
,3903161430.33738,3.40905296802521,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.37868642807007,3.42063236236572,500.010986328125,500.010986328125,,,3.78959393501282,,1,0,0,0,0,28.3479976654053,6,1,1,3.43941950798035,0,4232058336,3.39600157737732,,,0.100163957012587,0.00493519718345628,0.100167974617046,0.00493520064296511,0.986134529113769,0.989348888397217,28.0120582580566,0,30,1,200,-0.020253935828805,-3.91960144042969,0.814132034778595,1,,,,,,,,,,,,,,,,
,3903161434.48976,3.46959960460663,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.43941950798035,3.47846508026123,500.010986328125,500.010986328125,,,3.83140563964844,,1,0,0,0,0,28.3479976654053,6,1,1,3.49977970123291,0,4232058144,3.45597392320633,,,0.0980010688204331,0.00482863096775275,0.0980050452156011,0.00482863711843356,0.986132681369782,0.989336371421814,28.0121040344238,0,30,1,200,-0.0196719206869602,-3.8347864151001,0.796371579170227,1,,,,,,,,,,,,,,,,
,3903161438.6524,3.53613579273224,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.50381636619568,3.54506802558899,500.010986328125,500.010986328125,,,3.86116242408752,,1,0,0,0,0,28.3479976654053,6,1,1,3.5684552192688,0,4232058144,3.52006232738495,,,0.0958792006704452,0.00472409273994112,0.0958830087809547,0.00472409595410215,0.985984623432159,0.989120185375214,28.0122165679932,5.36715602874756,30,1,200,-0.0190821029245853,-3.75273537635803,0.779819309711456,1,,,,,,,,,,,,,,,,
,3903161442.88355,3.60011386871338,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.57080340385437,3.61113595962524,500.010986328125,500.010986328125,,,3.89395809173584,,1,0,0,0,0,28.8367557525635,6,1,1,3.62942433357239,0,4232058272,3.58597475290298,,,0.093713248212701,0.00461738335623157,0.093716985656082,0.00461738798273914,0.985846877098083,0.988929092884064,28.0122871398926,0,30,1,200,-0.0184754058718681,-3.66840815544128,0.762809634208679,1,,,,,,,,,,,,,,,,
,3903161447.10004,3.66049790382385,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.62942433357239,3.67279100418091,500.010986328125,500.010986328125,,,3.92133808135986,,1,0,0,0,0,28.8367557525635,6,1,1,3.69157147407532,0,4232058176,3.64789640903473,,,0.0916681595010467,0.00451661663430471,0.091671773734745,0.00451661945508884,0.985854923725128,0.988932371139526,28.0123176574707,5.2926664352417,30,1,200,-0.0182716343551874,-3.58767819404602,0.746819376945496,1,,,,,,,,,,,,,,,,
,3903161451.32449,3.72464454174042,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.69454717636108,3.73614954948425,500.010986328125,500.010986328125,,,3.95264196395874,,1,0,0,0,0,28.8367557525635,6,1,1,3.75474190711975,0,4232058400,3.71216344833374,,,0.0896883859988975,0.00441907634760182,0.0896918780379427,0.0044190767385257,0.985800862312317,0.988867402076721,28.0122985839844,3.63704895973206,30,1,200,-0.0180661361664534,-3.5092658996582,0.73200911283493,1,,,,,,,,,,,,,,,,
,3903161455.55385,3.78627753257751,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.75474190711975,3.79733943939209,500.010986328125,500.010986328125,,,3.97771501541138,,1,0,0,0,0,28.8367557525635,6,1,1,3.81781315803528,0,4232058336,3.77271717786789,,,0.0877414720004147,0.00432315295331141,0.0877449462833433,0.00432315695868911,0.985709190368652,0.98873496055603,28.0123729705811,0,30,1,200,-0.0175185613334179,-3.4321711063385,0.717765927314758,1,,,,,,,,,,,,,,,,
,3903161459.76459,3.84867906570435,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.82093453407288,3.86266255378723,500.010986328125,500.010986328125,,,4.0078182220459,,1,0,0,0,0,28.8367557525635,6,1,1,3.87642359733582,0,4232058144,3.83861654996872,,,0.0858790096332267,0.00423137973339058,0.0858824709834863,0.00423138717671454,0.985852837562561,0.988906562328339,28.0124244689941,0.18633297085762,30,1,200,-0.0174369625747204,-3.35665559768677,0.703998208045959,1,,,,,,,,,,,,,,,,
,3903161463.93061,3.91249370574951,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.8814013004303,3.92678713798523,500.010986328125,500.010986328125,,,4.03230714797974,,1,0,0,0,0,28.8367557525635,6,1,1,3.94358611106873,0,4232058144,3.90090209245682,,,0.0840906581194497,0.00414326705983981,0.084094057139446,0.00414327466981296,0.985799431800842,0.988841950893402,28.0124092102051,3.51887433680531E-6,30,1,200,-0.0170250404626131,-3.28480386734009,0.691715002059937,1,,,,,,,,,,,,,,,,
,3903161468.08314,3.97449171543121,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,3.94358611106873,3.98802757263184,500.010986328125,500.010986328125,,,4.05173444747925,,1,0,0,0,0,29.3255138397217,6,1,1,4.0053973197937,0,4232058176,3.96236538887024,,,0.0823627346474424,0.00405812685045926,0.0823660957256651,0.0040581361407006,0.98584246635437,0.988890886306763,28.0124378204346,0,30,1,200,-0.0166886858642101,-3.22545719146729,0.670861661434174,1,,,,,,,,,,,,,,,,
,3903161472.26862,4.03590559959412,500.010986328125,,,6,,,,28.0456981658936,,,100,,,,,,,,,,,,,,,,,,,,,,4.00921487808228,4.04923057556152,500.010986328125,500.010986328125,,,4.08440256118774,,1,0,0,0,0,28.8367557525635,6,1,1,4.06641387939453,0,4232058112,4.02578508853912,,,0.080676916028357,0.00397506781560632,0.0806801613701268,0.00397507599397711,0.985796451568604,0.988801002502441,28.0125885009766,0.482344448566437,30,1,200,-0.0161530841141939,-3.15747237205505,0.657992362976074,1,,,,,,,,,,,,,,,,
